,abstract,authors,comment,id,journal_ref,main_author,pdf_url,publish_date,term,terms,title,update_date,url
10,"Inspired by a new compilation of strong lensing systems (SLS), which consist of 205 points in the redshift range $0.0625< z_{l} < 0.958$ for the lens galaxy and $0.196< z_{s} < 3.595$ for the source, we constrain three models that generate a late cosmic acceleration: the $\omega$-cold dark matter model, the Chevallier-Polarski-Linder and the Jassal-Bagla-Padmanabhan parametrizations. Our compilation contains only those systems with early type galaxies acting as lenses, with spectroscopically measured stellar velocity dispersions, estimated Einstein radius of each system, and both the lens and source redshifts. We assume an axially symmetric mass distribution in the lens equation, using a correction to alleviate differences between the measured velocity dispersion ($\sigma$) and the dark matter halo velocity dispersion ($\sigma_{DM}$) as well as other systematic errors that may affect the measurements. To investigate the impact of some observables, such as the velocity dispersion, the Einstein radius and the redshift interval probed by the lens galaxies, we have considered different sub-samples to constrain the cosmological parameters of each model. Our results show that cosmological constraints are very sensitive to the selected data: some cases show convergence problems in the estimation of cosmological parameters (e.g. systems with observed distance ratio $D^{obs}<0.5$), others show high values for the chi-square function (e.g. systems with a lens equation $D^{obs} >1$ or high velocity dispersion $\sigma > 276$ km s$^{-1}$). Model selection criteria show that using SLS, the $\omega$-cold dark matter and Chevallier-Polarski-Linder models are preferred in different regions of the data.","Mario H. Amante, Juan Magaña, V. Motta, Miguel A. García-Aspeitia, Tomás Verdugo","18 pages, 18 figures, submitted to MNRAS",1906.04107v1,No journal ref found,Tomás Verdugo,http://arxiv.org/pdf/1906.04107v1,2019-06-10 16:29:22+00:00,astro-ph.CO,astro-ph.CO|gr-qc,Testing dark energy models with a new sample ofstrong-lensing systems,2019-06-10 16:29:22+00:00,http://arxiv.org/abs/1906.04107v1
11,"Neutron star interiors provide the opportunity to probe properties of cold dense matter in the QCD phase diagram. Utilizing models of dense matter in accord with nuclear systematics at nuclear densities, we investigate the compatibility of deconfined quark cores with current observational constraints on the maximum-mass and tidal deformability of neutron stars. We explore various methods of implementing the hadron-to-quark phase transition, specifically, first-order transitions with sharp (Maxwell construction) and soft (Gibbs construction) interfaces, and smooth crossover transitions. We find that within the models we apply, hadronic matter has to be stiff for a first-order phase transition and soft for a crossover transition. In both scenarios, quarks most likely appear at the center of canonical neutron stars in the mass range $\approx 1.0-1.6\,{\rm M}_{\odot}$ with a sound velocity $c^2_{\rm QM}\gtrsim 0.4$ characteristic of strong repulsive interactions required to support recently discovered neutron stars with masses $\geq 2\,{\rm M}_{\odot}$. We also identify equations of state and phase transition scenarios that are consistent with the bounds placed on tidal deformations of neutron stars in the recent binary merger event GW170817. We emphasize that distinguishing hybrid stars with quark cores from normal hadronic stars is very difficult from the knowledge of masses and radii alone, unless drastic sharp transitions induce distinctive disconnected hybrid branches in the mass-radius relation.","Sophia Han, Md. Abdullah Al Mamun, Sudhanva Lalit, Constantinos Constantinou, Madappa Prakash","21 pages, 8 figures",1906.04095v1,No journal ref found,Madappa Prakash,http://arxiv.org/pdf/1906.04095v1,2019-06-10 16:14:13+00:00,astro-ph.HE,astro-ph.HE|nucl-th,Treating quarks within neutron stars,2019-06-10 16:14:13+00:00,http://arxiv.org/abs/1906.04095v1
12,"We present rapid, multiwavelength photometry of the low-mass X-ray binary Swift J1357.2-0933 during its 2017 outburst. Using several sets of quasi-simultaneous ULTRACAM/NTT (optical), NuSTAR (X-ray), XRT/Swift (X-ray), SALT (optical) and ATCA (radio) observations taken during outburst decline, we confirm the frequent optical dipping that has previously been noted both in outburst and in quiescence. We also find: 1) that the dip frequency decreases as the outburst decays, similar to what was seen in the previous outburst, 2) that the dips produce a shape similar to that in binary systems with partial disc occultations, 3) that the source becomes significantly bluer during these dips, indicating an unusual geometry compared to other LMXB dippers, and 4) that dip superposition analysis confirms the lack of an X-ray response to the optical dips. These very unusual properties appear to be unique to Swift J1357.2-0933, and are likely the result of a high binary inclination, as inferred from features such as its very low outburst X-ray luminosity. From this analysis as well as X-ray/optical timing correlations, we suggest a model with multi-component emission/absorption features with differing colours. This could include the possible presence of a sporadically occulted jet base and a recessed disc. This source still hosts many puzzling features, with consequences for the very faint X-ray transients population.","J. A. Paice, P. Gandhi, P. A. Charles, V. S. Dhillon, T. R. Marsh, D. A. H. Buckley, M. M. Kotze, A. Beri, D. Altamirano, M. J. Middleton, R. M. Plotkin, J. C. A. Miller-Jones, D. Russell, J. Tomsick, W. Díaz-Merced, R. Misra","15 pages, 13 figures. Revised and resubmitted to MNRAS",1905.09784v2,No journal ref found,R. Misra,http://arxiv.org/pdf/1905.09784v2,2019-05-23 17:15:48+00:00,astro-ph.HE,astro-ph.HE,"Puzzling Blue Dips in the Black Hole Candidate Swift J1357.2-0933, from   ULTRACAM, SALT, ATCA, Swift and NuSTAR",2019-06-10 15:07:29+00:00,http://arxiv.org/abs/1905.09784v2
13,"The Calar Alto Fiber-fed \'Echelle spectrograph (CAFE) is a high-resolution spectrographs with high-precision radial velocity capabilities mounted in the 2.2m telescope of Calar Alto Observatory. It suffered from strong degradation after 4 years of operations and it has now been upgraded. The upgrades of the instrument (now named CAFE$_2$) aimed at improving the throughput and stability thanks to the inclusion of a new grating, an active temperature control in the isolated coud\'e room, and a new scrambling system among other minor changes. In this paper, we present the results of the re-commissioning of the instrument and a new pipeline (CAFExtractor) that provides the user with fully reduced data including radial velocity measurements of FGK dwarf stars. We have monitored the upgraded instrument for several months to characterize its main properties and test the new pipeline. It uses part of the CERES code, improves the wavelength calibration and radial velocity extraction (using the HARPS masks adapted), applies nightly drift corrections. The finally reduced spectra are presented in FITS files. The commissioning results show a clear improvement in the instrument performance with respect to the degraded status before the intervention. The room temperature is now stabilized down to 5 mK during one night and below 50 mK over two months. CAFE$_2$ now provides 3 m/s precision on the reference ThAr frames and the on-sky tests provide a radial velocity precision of 8 m/s during one night (for S/N>50). The throughput of the instrument is now back to nominal values with an efficiency of around 15% at 550 nm. The limiting magnitude of the instrument for a 1h exposure and S/N=20 is V=15. With all these properties, CAFE$_2$ enters into the small family of high-resolution spectrographs mounted on 2-4 meter-class telescopes capable of reaching radial velocity precisions below 10 m/s.","J. Lillo-Box, J. Aceituno, S. Pedraz, G. Bergond, D. Galadí-Enríquez, M. Azzaro, B. Arroyo-Torres, A. Fernández-Martín, A. Guijarro, R. P. Hedrosa, I. Hermelo, F. Hoyo, P. Martín-Fernández","Submitted to A&A. 11 pages, 10 figures and 4 tables",1906.04060v1,No journal ref found,P. Martín-Fernández,http://arxiv.org/pdf/1906.04060v1,2019-06-10 15:05:10+00:00,astro-ph.IM,astro-ph.IM|astro-ph.EP,CAFE2: an upgrade to the CAFE high-resolution spectrograph.   Commissioning results and new public pipeline,2019-06-10 15:05:10+00:00,http://arxiv.org/abs/1906.04060v1
14,We argue that discreteness at the Planck scale (naturally expected to arise from quantum gravity) might manifest in the form of minute violations of energy-momentum conservation of the matter degrees of freedom when described in terms of (idealized) smooth fields on a smooth spacetime. In the context of applications to cosmology such `energy diffusion' from the low energy matter degrees of freedom to the discrete structures underlying spacetime leads to the emergence of an effective dark energy term in Einstein's equations. We estimate this effect using a (relational) hypothesis about the materialization of discreteness in quantum gravity which is motivated by the strict observational constraints supporting the validity of Lorentz invariance at low energies. The predictions coming from simple dimensional analysis yield a cosmological constant of the order of magnitude of the observed value without fine tuning.,"Alejandro Perez, Daniel Sudarsky","Typos corrected, closer to published version",1711.05183v4,No journal ref found,Daniel Sudarsky,http://arxiv.org/pdf/1711.05183v4,2017-11-14 16:44:21+00:00,gr-qc,gr-qc|astro-ph.CO|hep-ph|hep-th,Dark energy from quantum gravity discreteness,2019-06-10 14:27:44+00:00,http://arxiv.org/abs/1711.05183v4
15,"We present an asymptotically and unconditionally stable numerical method to account for the momentum transfer between multiple species. Momentum is conserved to machine precision. This implies that the asymptotic equilibrium corresponds to the velocity of the center of mass. Aimed at studying dust dynamics, we implement this numerical method in the publicly available code FARGO3D. To validate our implementation, we develop a test suite for an arbitrary number of species, based on analytical or exact solutions of problems related to perfect damping, damped sound waves, shocks, local and global gas-dust radial drift in a disk and, linear streaming instability. In particular, we obtain first-order, steady-state solutions for the radial drift of multiple dust species in protoplanetary disks, in which the pressure gradient is not necessarily small. We additionally present non-linear shearing-box simulations of the streaming instability and compare them with previous results obtained with Lagrangian particles. We successfully validate our implementation by recovering the solutions from the test suite to second- and first-order accuracy in space and time, respectively. From this, we conclude that our scheme is suitable, and very robust, to study the self-consistent dynamics of several fluids. In particular, it can be used for solving the collisions between gas and dust in protoplanetary disks, with any degree of coupling.","Pablo Benítez-Llambay, Leonardo Krapp, Martín E. Pessah","27 pages, 12 figures; accepted for publication in ApJS",1811.07925v3,No journal ref found,Martín E. Pessah,http://arxiv.org/pdf/1811.07925v3,2018-11-19 19:04:26+00:00,astro-ph.EP,astro-ph.EP,Asymptotically stable numerical method for multispecies momentum   transfer: gas and multifluid-dust test suite and implementation in FARGO3D,2019-06-10 13:50:50+00:00,http://arxiv.org/abs/1811.07925v3
16,"Stabilizing the gain of a radio astronomy receiver is of great importance for sensitive radio intensity mapping. In this paper we discuss a stabilization method using a continuous-wave reference signal injected into the signal chain and tracked in a single channel of the spectrometer to correct for the gain variations of the receiver. This method depends on the fact that gain fluctuations of the receiver are strongly correlated across the frequency band, which we can show is the case for our experimental setup. This method is especially suited for receivers with a digital back-end with high spectral resolution and moderate dynamic range. The sensitivity of the receiver is unaltered except for one lost frequency channel. We present experimental results using a new 4-8.5 GHz receiver with a digital back-end that shows substantial reduction of the 1/ f noise and the 1/ f knee frequency.","Alexander W. Pollak, Christian M. Holler, Michael E. Jones, Angela C. Taylor",No comment found,1906.03965v1,No journal ref found,Angela C. Taylor,http://arxiv.org/pdf/1906.03965v1,2019-06-10 13:27:29+00:00,astro-ph.IM,astro-ph.IM,Gain Stabilization for Radio Intensity Mapping using a Continuous-Wave   Reference Signal,2019-06-10 13:27:29+00:00,http://arxiv.org/abs/1906.03965v1
17,"The understanding of magnetic reconnection in three-dimension (3D) is far shallower than its counterpart in two-dimension (2D) due to its potential complication, not to mention the evolving of the spontaneously growing turbulence. We investigate the reason for reconnection acceleration on the characters and development of diffusion regions and sheared 3D energy modes (energy modes that are not parallel to the anti-parallel magnetic fields) during the turbulence building stage. We found that multiple reconnection layers emerge due to the growth of 3D sheared tearing instability. Diffusion regions on adjacent reconnection layers form an inflow-outflow coupling that enhances the local reconnection. Further coupling of the existing energy modes breeds new energy modes near the current sheet edge. As reconnection layers span and interact with each other across the whole current sheet, global magnetic energy consumption accelerates. The significant contribution of 3D energy modes and their interaction to the reconnection rate enhancement seems to be independent on magnetic diffusivity. On the other hand, the global guide field changes the layout of 3D reconnection layer thus determines whether the system is fast-reconnection-preferable.","Shuoyang Wang, Takaaki Yokoyama","13 pages, 14 figures",1906.03964v1,No journal ref found,Takaaki Yokoyama,http://arxiv.org/pdf/1906.03964v1,2019-06-10 13:24:01+00:00,astro-ph.SR,astro-ph.SR,Diffusion regions and 3D energy mode development in spontaneous   reconnection,2019-06-10 13:24:01+00:00,http://arxiv.org/abs/1906.03964v1
18,"The extended Jordan-Brans-Dicke (eJBD) theory of gravity is constrained by a host of astrophysical and cosmological observations spanning a wide range of scales. The current cosmological constraints on the first post-Newtonian parameter in these simplest eJBD models in which the recent acceleration of the Universe is connected with the variation of the effective gravitational strength are consistent, but approximately two order of magnitude larger than the time-delay test within the Solar System. We forecast the capabilities of future galaxy surveys in combination with current and future CMB anisotropies measurements to further constrain the simplest dark energy models within eJBD theory of gravity. By considering two cases of a monomial potential (a quartic potential or a cosmological constant), we show how Euclid-like galaxy clustering and weak lensing data in combination with BOSS and future CMB observations have the potential to reach constraints on the first post-Newtonian parameter $\gamma_{\rm PN}$ comparable to those from the Solar System.","Mario Ballardini, Domenico Sapone, Caterina Umiltà, Fabio Finelli, Daniela Paoletti","14 pages, 4 figures, 1 table. Version accepted by JCAP",1902.01407v2,No journal ref found,Daniela Paoletti,http://arxiv.org/pdf/1902.01407v2,2019-02-04 19:00:02+00:00,astro-ph.CO,astro-ph.CO,Testing extended Jordan-Brans-Dicke theories with future cosmological   observations,2019-06-10 13:09:11+00:00,http://arxiv.org/abs/1902.01407v2
19,A scalar field rolling down a potential with a large initial velocity results in inflation of a finite duration. Such a scenario suppresses the scalar power on large scales improving the fit to the cosmological data. We find that the scenario leads to a hitherto unexplored situation wherein the boundary terms dominate the contributions to the scalar bispectrum over the bulk terms. We show that the consistency relation governing the non-Gaussianity parameter $f_{_{\rm NL}}$ is violated on large scales and that the contributions at the initial time can substantially enhance the value of $f_{_{\rm NL}}$.,"H. V. Ragavendra, Debika Chowdhury, L. Sriramkumar","v1: 5 pages, 4 figures",1906.03942v1,No journal ref found,L. Sriramkumar,http://arxiv.org/pdf/1906.03942v1,2019-06-10 12:36:28+00:00,astro-ph.CO,astro-ph.CO|gr-qc|hep-th,Unique contributions to the scalar bispectrum in `just enough inflation',2019-06-10 12:36:28+00:00,http://arxiv.org/abs/1906.03942v1
20,"Aims: Our scientific goal is to provide revised membership lists of the Alpha Per, Pleiades, and Praesepe clusters exploiting the second data release of Gaia and produce five-dimensional maps (ra, dec, parallax, pmRA, pmDEC) of these clusters.   Methods: We implemented the kinematic method combined with the statistical treatment of parallaxes and proper motions to identify astrometric member candidates of three of the most nearby and best studied open clusters in the sky.   Results: We cross-correlated the Gaia catalogue with large-scale public surveys to complement the astrometry of Gaia with multi-band photometry from the optical to the mid-infrared. We identified 517, 1248, and 721 bona-fide astrometric member candidates inside the tidal radius of the Alpha Per, the Pleiades, and Praesepe, respectively. We cross-matched our final samples with catalogues from previous surveys to address the level of completeness. We update the main physical properties of the clusters, including mean distance and velocity as well as core, half-mass, and tidal radii. We infer updated ages from the white dwarf members of the Pleiades and Praesepe. We derive the luminosity and mass functions of the three clusters and compare them to the field mass function. We compute the positions in space of all member candidates in the three regions to investigate their distribution in space.   Conclusions: We provide updated distances and kinematics for the three clusters. We identify a list of members in the Alpha Per, Pleiades, and Praesepe clusters from the most massive stars all the way down into the hydrogen-burning limit with a higher confidence and better astrometry than previous studies. We produce complete 5D maps of stellar and substellar bona-fide members in these three regions. ABRIDGED","N. Lodieu, A. Perez-Garrido, R. L. Smart, R. Silvotti","27 pages, 5 figures, 5 tables, 3 appendices with 9 figures and 3
  tables. Full tables will be available via CDS/Vizier. Accepted for
  publication in A&A. not language-edited",1906.03924v1,No journal ref found,R. Silvotti,http://arxiv.org/pdf/1906.03924v1,2019-06-10 12:12:29+00:00,astro-ph.SR,astro-ph.SR|astro-ph.GA,"A 5D view of the Alpha Per, Pleiades, and Praesepe clusters",2019-06-10 12:12:29+00:00,http://arxiv.org/abs/1906.03924v1
